Id,Gender,FirstName,MiddleName,LastName,FullName,Country,State,City,Street,SecondAddress,AddressString,PhoneNumber
26921435,0,София,Антоновна,Бирюкова,София Антоновна Бирюкова,,,,,,"Ставрополь, проспект Строителей, 158, кв. 164",(942)115-29-36
16970187,0,Таисия,Денисовна,Логинова,Таисия Денисовна Логинова,,,,,,"Ненецкий автономный округ, Красноярск, Чехова площадь, 783, кв. 514",(938)682-45-98
98173891,1,Ульяна,Данииловна,Щербакова,Ульяна Данииловна Щербакова,,,,,,"Омск, улица Труда, 045, кв. 647",(949)771-28-42
00399139,1,Андрей,Иванович,Логинов,Андрей Иванович Логинов,,,,,,"Республика Ингушетия, Владивосток, ул. Набережная, 534",(920)785-08-96
77593330,0,Василиса,Романовна,Пахомова,Василиса Романовна Пахомова,,,,,,"Тольятти, Школьный пр., 211, кв. 293",(909)396-92-22
43948186,1,Игнатий,Андреевич,Потапов,Игнатий Андреевич Потапов,,,,,,"Ростовская область, Томск, Школьная ул., 745, кв. 549",(930)291-31-13
95912374,1,Григорий,Николаевич,Степанов,Григорий Николаевич Степанов,,,,,,"Тверская область, Нижний Новгород, Труда пр., 533",(952)280-30-84
31220550,0,Надежда,Ярославовна,Хохлова,Надежда Ярославовна Хохлова,,,,,,"Калужская область, Новокузнецк, Рабочая пл., 676, кв. 613",(918)730-70-08
88251539,1,Эдуард,Романович,Шаров,Эдуард Романович Шаров,,,,,,"Сочи, площадь Чкалова, 260",(933)675-22-59
64759019,0,Елена,Мироновна,Романова,Елена Мироновна Романова,,,,,,"Республика Татарстан, Воронеж, площадь Рабочая, 868, кв. 459",(917)100-39-55
04486232,0,Тамара,Максимовна,Ситникова,Тамара Максимовна Ситникова,,,,,,"Брянск, Чапаева пл., 159",(991)164-27-46
04313754,1,Зинаида,Михайловна,Силина,Зинаида Михайловна Силина,,,,,,"Новокузнецк, Березовая пр., 172",(919)734-51-85
54026312,1,Валентина,Максимовна,Рожкова,Валентина Максимовна Рожкова,,,,,,"Красноярск, Мира улица, 802, кв. 190",(982)823-84-19
78456904,1,Алевтина,Артёмовна,Александрова,Алевтина Артёмовна Александрова,,,,,,"Пенза, ул. Дачная, 012, кв. 735",(966)446-66-54
43551771,1,Анжела,Арсеньевна,Наумова,Анжела Арсеньевна Наумова,,,,,,"Пермь, пл. Гоголя, 849",(925)036-52-34
55150189,1,Антон,Николаевич,Белоусов,Антон Николаевич Белоусов,,,,,,"Челябинск, улица Коммунальная, 139",(941)648-86-76
70587821,1,Артём,Иванович,Иванов,Артём Иванович Иванов,,,,,,"Томск, пр. Свердлова, 910",(919)872-30-39
67895252,1,Георгий,Львович,Некрасов,Георгий Львович Некрасов,,,,,,"Екатеринбург, площадь Свободы, 326, кв. 041",(947)565-39-65
71174076,1,Алла,Николаевна,Орлова,Алла Николаевна Орлова,,,,,,"Владимир, проспект Лесная, 772",(933)841-98-12
58230412,1,Макар,Романович,Мамонтов,Макар Романович Мамонтов,,,,,,"Челябинск, Мира пр., 887",(919)714-43-46
